t(s),R1(um),R2(um)
0,16.34738325,9.862432874
0.294117647,16.35254649,9.861772803
0.588235294,16.34469186,9.867865682
0.882352941,16.2909523,9.851922646
1.176470588,16.28586337,9.851775276
1.470588235,16.30000516,9.874145522
1.764705882,16.28147575,9.855268014
2.058823529,16.34299496,9.857517259
2.352941176,16.34753786,9.863316531
2.647058824,16.35413069,9.864152737
2.941176471,16.31624067,9.873462025
3.235294118,16.29012824,9.872483434
3.529411765,16.30274251,9.862747645
3.823529412,16.35877854,9.873029874
4.117647059,16.35279902,9.860157495
4.411764706,16.33166905,9.868909761
4.705882353,16.35654715,9.865672814
5,16.30340209,9.868075931
5.294117647,16.30493267,9.858722954
5.588235294,16.27960273,9.865222405
5.882352941,16.34529557,9.86367113
6.176470588,16.30725173,9.874109419
6.470588235,16.32106158,9.872772773
6.764705882,16.27722297,9.863576678
7.058823529,16.29092757,9.859300022
7.352941176,16.2764464,9.876714879
7.647058824,16.27172041,9.873957536
7.941176471,16.2754852,9.863938638
8.235294118,16.30599571,9.864204936
8.529411765,16.28717224,9.885551446
8.823529412,16.30362195,9.861469039
9.117647059,16.30567566,9.871447839
9.411764706,16.2947595,9.872207995
9.705882353,16.33994397,9.86295461
10,16.31549078,9.853133076
10.29411765,16.27366934,9.870346263
10.58823529,16.31114956,9.873800445
10.88235294,16.30313396,9.871713307
11.17647059,16.27306777,9.883217217
11.47058824,16.27965672,9.865588829
11.76470588,16.27953879,9.865370582
12.05882353,16.28513455,9.874659255
12.35294118,16.28123771,9.860444733
12.64705882,16.28215214,9.874269275
12.94117647,16.29623678,9.880356
13.23529412,16.35017452,9.881060915
13.52941176,16.29925676,9.872834215
13.82352941,16.34386708,9.871513553
14.11764706,16.3538412,9.882381631
14.41176471,16.34799935,9.870784826
14.70588235,16.3088914,9.871391817
15,16.30314956,9.867513244
15.29411765,16.35979091,9.869793359
15.58823529,16.31615682,9.876350308
15.88235294,16.2913459,9.863849425
16.17647059,16.29200171,9.874774654
16.47058824,16.28425977,9.86466325
16.76470588,16.28717414,9.871420027
17.05882353,16.30870018,9.859149028
17.35294118,16.29570296,9.861762813
17.64705882,16.34877795,9.87186892
17.94117647,16.35986698,9.87287972
